"File name";Size;Creator;Date;Name;Description;Path
images.zip;280055;"Ulf Krumnack, M.A.";"2016-12-06 10:04:48";"Example images for sheet 05";;/images.zip
sheet05.ipynb;10295;"Ulf Krumnack, M.A.";"2016-12-06 10:04:17";"Sheet 05";"Submit before December 12";/sheet05.ipynb
