"File name";Size;Creator;Date;Name;Description;Path
img.png;91882;"Ulf Krumnack, M.A.";"2017-01-24 10:56:40";"Example image for sheet 09";;/img.png
sheet09.ipynb;6565;"Ulf Krumnack, M.A.";"2017-01-24 10:56:09";"Sheet 09";"Submit before January 30";/sheet09.ipynb
